"COD_MUNICIPIO","cep.min","cep.max"
2901908,48350000,48359999
2901957,45355000,45359999
2902054,48108000,48109999
2902005,46130000,46139999
2902104,48760000,48769999
2902203,48130000,48139999
2902252,45695000,45699999
2902302,44490000,44499999
2902401,45675000,45679999
2902500,47830000,47844999
2902500,47830001,47832999
2902609,44620000,44629999
2902658,48405000,48409999
2902708,47100000,47114999
2902807,46650000,46669999
2902906,45120000,45129999
2902906,45120001,45123999
2903003,44990000,44999999
2903102,45560000,45569999
2903201,47800000,47819999
2903201,47800001,47819999
2903235,44895000,44899999
2903235,44895001,44897999
2903300,45625000,45629999
2903276,48705000,48709999
2903409,45800000,45806999
2903508,45160000,45169999
2903607,48780000,48789999
2903706,45250000,45254999
2903805,46850000,46859999
2903904,47600000,47609999
2903953,45258000,45259999
2904001,46740000,46749999
2904050,46820000,46824999
2904050,46820001,46823999
2904100,46530000,46539999
2904100,46530001,46534999
2904209,46570000,46574999
2904209,46570001,46574999
2904308,45325000,45329999
2904407,47750000,47759999
2904407,47750001,47752999
2904506,47560000,47579999
2904605,46100000,46126999
2904605,46100001,46120999
2904704,45615000,45619999
2904753,47120000,47149999
2904803,45130000,45139999
2904852,44345000,44349999
2904902,44300000,44319999
2905008,46300000,46309999
2905107,44730000,44739999
2905156,45256000,45257999
2905206,46400000,46424999
2905206,46400001,46407999
2905305,44880000,44884999
2905305,44880001,44882999
2905404,45420000,45429999
2905503,44750000,44754999
2905602,45880000,45889999
2905701,42800000,42849999
2905701,42800001,42849999
2905800,45445000,45449999
2905909,47220000,47239999
2906006,44790000,44797999
2906105,47730000,47739999
2906204,44890000,44894999
2906303,45860000,45864999
2906402,48710000,48719999
2906501,43800000,43849999
2906501,43800001,43839999
2906600,46380000,46389999
2906600,46380001,46385999
2906709,45157000,45159999
2906709,45157001,45158999
2906808,48840000,48849999
2906824,48520000,48539999
2906857,44645000,44649999
2906873,44695000,44695000
2906873,44820000,44829999
2906873,44820001,44827999
2906899,45177000,45179999
2906907,45900000,45909999
2907004,48390000,48399999
2907103,46445000,46445999
2907103,46445001,46445699
2907103,46445701,46445799
2907103,46445801,46445999
2907202,47300000,47349999
2907301,44500000,44519999
2907400,47845000,47849999
2907400,47845001,47846999
2907509,48110000,48119999
2907558,46575000,46579999
2907608,44940000,44949999
2907707,48660000,48679999
2907806,48410000,48414999
2907905,48450000,48454999
2908002,45638000,45639999
2908002,45638001,45639999
2908101,47680000,47689999
2908200,44320000,44329999
2908309,44540000,44549999
2908408,48730000,48749999
2908507,44245000,44249999
2908606,48300000,48309999
2908705,46200000,46204999
2908705,46200001,46203999
2908804,46620000,46639999
2908903,44250000,44254999
2909000,46280000,46289999
2909109,47690000,47699999
2909109,47690001,47691999
2909208,48590000,48599999
2909307,47650000,47654999
2909307,47650001,47653999
2909406,47900000,47939999
2909406,47900001,47903999
2909505,45330000,45339999
2909604,48480000,48484999
2909703,47950000,47959999
2909703,47950001,47951999
2909802,44380000,44399999
2909901,48930000,48949999
2910008,45590000,45599999
2910008,45590001,45593999
2910057,42850000,43699999
2910107,46165000,46169999
2910206,44560000,44564999
2910305,45305000,45309999
2910404,45150000,45154999
2910503,48180000,48279999
2900504,46180000,46189999
2910602,48370000,48389999
2910701,48500000,48519999
2910727,45820000,45833999
2910727,45820001,45831999
2910750,48415000,48419999
2910750,48415001,48418999
2910776,46446000,46449999
2910776,46446001,46448999
2910800,44000000,44149999
2910800,44000001,44099999
2910859,44775000,44779999
2910909,45720000,45724999
2911006,45740000,45744999
2911105,47990000,47999999
2911204,45450000,45451999
2911253,44650000,44654999
2911303,47450000,47499999
2911303,47450001,47453999
2911402,48620000,48629999
2911501,45540000,45544999
2911600,44350000,44359999
2911659,46205000,46219999
2911709,46430000,46437999
2911808,45840000,45847999
2911857,48445000,48449999
2911907,46860000,46874999
2912004,46390000,46399999
2912103,45745000,45749999
2912202,46760000,46764999
2912301,45290000,45299999
2912400,44970000,44989999
2912509,46540000,46549999
2912608,46840000,46849999
2912707,45500000,45519999
2912806,45940000,45949999
2912905,45580000,45584999
2913002,46700000,46729999
2913101,44960000,44969999
2913200,47520000,47529999
2913309,48725000,48729999
2913309,48725001,48727999
2913408,46490000,46499999
2913457,45443000,45444999
2913507,45280000,45289999
2913606,45650000,45674999
2913606,45650001,45662999
2913705,48490000,48499999
2913804,44680000,44689999
2913903,45570000,45579999
2913903,45570001,45578999
2914000,44600000,44609999
2914109,47590000,47599999
2914208,45370000,45374999
2914307,46770000,46779999
2914406,46980000,46989999
2914505,44255000,44259999
2914604,44860000,44879999
2914604,44860001,44876999
